adm_cd,adm_nm,자치구,pop,area_km2,pop_density
1150057000,화곡제4동,강서구,19817.0,0.8514316625077106,23274.9
1150059000,화곡본동,강서구,33038.0,0.9716742816671352,34001.1
1150059100,화곡제6동,강서구,24843.0,1.0371607494609143,23952.9
1150059300,화곡제8동,강서구,23555.0,0.5932512422777197,39704.9
1150060300,가양제1동,강서구,34016.0,4.865764986732689,6990.9
1150060400,가양제2동,강서구,13499.0,0.8232780501876679,16396.6
1150060500,가양제3동,강서구,14210.0,0.4722836404729739,30087.9
1150061100,발산제1동,강서구,35730.0,2.885594606892885,12382.2
1150061500,우장산동,강서구,43791.0,1.2606779893907902,34736.1
1150062000,공항동,강서구,29659.0,10.955944847618143,2707.1
1150063000,방화제1동,강서구,42164.0,1.4745478213620575,28594.5
1150064000,방화제2동,강서구,22713.0,6.153143123495626,3691.3
1150064100,방화제3동,강서구,22052.0,2.557045329153736,8624.0
1153051000,신도림동,구로구,35870.0,1.391772765971076,25772.9
1153052000,구로제1동,구로구,20558.0,1.0081580885646009,20391.6
1153053000,구로제2동,구로구,22536.0,1.7021145506901252,13240.0
1153054000,구로제3동,구로구,23326.0,1.039346944374484,22442.9
1153055000,구로제4동,구로구,18774.0,0.5241178132560111,35820.2
1153056000,구로제5동,구로구,29188.0,1.0117337410060057,28849.5
1153059500,가리봉동,구로구,8782.0,0.4106989086030989,21383.1
1153072000,고척제1동,구로구,26325.0,1.1504030764553037,22883.3
1153073000,고척제2동,구로구,25913.0,1.024687353302526,25288.7
1153074000,개봉제1동,구로구,33219.0,1.3193136020731944,25179.0
1153075000,개봉제2동,구로구,29881.0,0.7818905587421366,38216.3
1153076000,개봉제3동,구로구,19704.0,0.8278189913390529,23802.3
1153077000,오류제1동,구로구,22753.0,0.7270828222397656,31293.5
1153078000,오류제2동,구로구,37495.0,3.058878520064113,12257.8
1153079000,수궁동,구로구,22772.0,2.659440569219275,8562.7
1153080000,항동,구로구,,1.4459024639735227,
1154551000,가산동,금천구,24709.0,2.5110196953220623,9840.2
1154561000,독산제1동,금천구,46423.0,2.060413430001076,22530.9
1154562000,독산제2동,금천구,17884.0,0.6167554969069016,28996.9
1154563000,독산제3동,금천구,23756.0,0.9342992367530072,25426.5
1154564000,독산제4동,금천구,14640.0,0.5905777867720436,24789.3
1154567000,시흥제1동,금천구,32212.0,1.5222419921185306,21160.9
1154568000,시흥제2동,금천구,20587.0,1.3079178679647536,15740.3
1154569000,시흥제3동,금천구,10266.0,1.2604652821368687,8144.6
1154570000,시흥제4동,금천구,19565.0,0.8211059386114624,23827.6
1154571000,시흥제5동,금천구,18232.0,1.385953307240518,13154.8
1156051500,영등포본동,영등포구,20900.0,0.8457489302886876,24711.8
1156053500,영등포동,영등포구,30556.0,1.3713763105959298,22281.3
1156054000,여의동,영등포구,33064.0,8.431315740357293,3921.6
1156055000,당산제1동,영등포구,21003.0,0.7447591147104619,28201.1
1156056000,당산제2동,영등포구,36742.0,1.5798609287508851,23256.5
1156058500,도림동,영등포구,17583.0,0.5854553412496291,30033.0
1156060500,문래동,영등포구,32146.0,1.785402731093962,18004.9
1156061000,양평제1동,영등포구,18185.0,0.974200447472836,18666.6
1156062000,양평제2동,영등포구,22494.0,2.8724957729053204,7830.8
1156063000,신길제1동,영등포구,19318.0,0.7223923824144116,26741.7
1156065000,신길제3동,영등포구,16082.0,0.5197018126125077,30944.7
1156066000,신길제4동,영등포구,12249.0,0.3223644790039472,37997.4
1156067000,신길제5동,영등포구,10005.0,0.4942898647847579,20241.2
1156068000,신길제6동,영등포구,17820.0,0.6178988532489748,28839.7
1156069000,신길제7동,영등포구,19838.0,0.6466931713693795,30676.1
1156070000,대림제1동,영등포구,13815.0,0.4986117674963767,27706.9
1156071000,대림제2동,영등포구,11854.0,0.5721283834858186,20719.1
1156072000,대림제3동,영등포구,21622.0,0.9210217114466988,23476.1
1159051000,노량진제1동,동작구,32033.0,1.6122486505854003,19868.5
1159052000,노량진제2동,동작구,10295.0,0.6001241216779689,17154.8
1159053000,상도제1동,동작구,44433.0,1.481432640061388,29993.3
1159054000,상도제2동,동작구,27533.0,0.7784020275319241,35371.2
1159055000,상도제3동,동작구,23962.0,0.6369041224948448,37622.6
1159056000,상도제4동,동작구,27834.0,0.9388667340850156,29646.4
1159060500,흑석동,동작구,30000.0,1.70703392258753,17574.3
1159062000,사당제1동,동작구,22524.0,0.6346976984802543,35487.8
1159063000,사당제2동,동작구,28195.0,2.761107601228676,10211.5
1159064000,사당제3동,동작구,23726.0,0.907037142997832,26157.7
1159065000,사당제4동,동작구,13855.0,0.4358223270023358,31790.5
1159065100,사당제5동,동작구,14147.0,0.6816901280909213,20752.8
1159066000,대방동,동작구,35695.0,1.5437628820891838,23122.1
1159067000,신대방제1동,동작구,23318.0,0.6747845446602588,34556.2
