adm_cd,adm_nm,자치구,S_JVWI,dagagu_count,new_density,전세가율,고전세가율비율,공시지가대비전세가괴리,officetel_share,pop_density,n_dagagu_count,n_new_density,n_전세가율,n_고전세가율비율,n_공시지가대비전세가괴리,n_officetel_share,n_pop_density
1153055000,구로제4동,구로구,39.43,422,19.84,64.0,19.4,1.68,0.3741,35820.2,0.36920384951881013,0.10709851551956814,0.5906060916829043,0.26040268456375837,0.37523764003529814,0.5617960654752965,0.7147059587640815
1154571000,시흥제5동,금천구,39.42,674,16.88,70.25,24.3,1.7281,0.1863,13154.8,0.5896762904636921,0.09112010796221322,0.6547020818377602,0.3261744966442953,0.3950908501053746,0.2797717374981228,0.26175035822130377
1121577000,중곡제4동,광진구,39.3,561,14.82,74.62,32.8,1.8441,0.1378,11938.9,0.49081364829396323,0.08,0.6995179981540355,0.4402684563758389,0.4429696935176172,0.20693797867547678,0.2374512629174502
1138059000,응암제2동,은평구,39.25,272,73.76,65.06,9.8,2.026,0.1768,36261.2,0.2379702537182852,0.39816464237516874,0.6014767716131679,0.13154362416107385,0.5180486729718148,0.26550533113080044,0.7235191021385362
1132070000,방학제2동,도봉구,39.07,361,16.48,86.33,27.5,2.0354,0.1493,17078.1,0.31583552055993,0.08896086369770581,0.8196082453081734,0.3691275167785235,0.521928510282807,0.22420783901486707,0.3401553591305964
1150052000,등촌제1동,강서구,38.83,94,21.53,69.05,34.0,1.6454,0.4453,38327.2,0.08223972003499562,0.11622132253711202,0.6423956517280278,0.4563758389261745,0.36095653674164646,0.668719026880913,0.7648069801694282
1154569000,시흥제3동,금천구,38.78,674,18.56,70.25,24.3,1.7281,0.1863,8144.6,0.5896762904636921,0.1001889338731444,0.6547020818377602,0.3261744966442953,0.3950908501053746,0.2797717374981228,0.16162425632857635
1171053100,거여1동,송파구,38.76,124,180.75,46.37,7.4,1.6697,0.1416,23090.6,0.1084864391951006,0.9757085020242915,0.40980412265408667,0.09932885906040269,0.3709863289392111,0.21264454122240575,0.46031187735941437
1144061000,염리동,마포구,38.76,221,114.03,50.24,13.2,1.5692,0.2584,33873.7,0.19335083114610674,0.6155465587044534,0.4494923597579735,0.17718120805369125,0.3295050896036043,0.38804625319116987,0.6758062227586937
1129062000,정릉제1동,성북구,38.71,208,96.16,58.88,4.1,2.4501,0.0027,43286.3,0.18197725284339458,0.5190823211875844,0.5380986565480463,0.05503355704697986,0.6930953754815742,0.004054662862291635,0.8639118765600363
