adm_cd,adm_nm,자치구,villa_total,newvilla_count,newvilla_ratio,area_km2,newvilla_density
1126057500,면목제3.8동,중랑구,1194,41,0.0343,1.6135,25.41
1126054000,면목제4동,중랑구,1194,41,0.0343,0.8428,48.65
1129070500,종암동,성북구,293,10,0.0341,1.4035,7.13
1121571000,화양동,광진구,118,4,0.0339,1.1354,3.52
1138053000,불광제2동,은평구,1407,46,0.0327,1.3951,32.97
1138052000,불광제1동,은평구,1407,46,0.0327,3.1226,14.73
1138057000,대조동,은평구,496,16,0.0323,0.8511,18.8
1129064000,정릉제3동,성북구,1259,40,0.0318,3.3246,12.03
1129065000,정릉제4동,성북구,1259,40,0.0318,3.5682,11.21
1138069000,진관동,은평구,505,16,0.0317,11.5568,1.38
1168065500,도곡1동,강남구,158,5,0.0316,1.0498,4.76
1168065600,도곡2동,강남구,158,5,0.0316,0.99,5.05
1171056600,오륜동,송파구,936,29,0.031,3.0827,9.41
1171056200,방이2동,송파구,936,29,0.031,0.7692,37.7
1171056100,방이1동,송파구,936,29,0.031,0.6088,47.63
1129063000,정릉제2동,성북구,1443,43,0.0298,1.0941,39.3
1171063200,가락2동,송파구,757,22,0.0291,0.9316,23.62
1171062000,가락본동,송파구,757,22,0.0291,1.014,21.7
1171063100,가락1동,송파구,757,22,0.0291,1.3922,15.8
1144068000,합정동,마포구,531,15,0.0282,1.7111,8.77
1135062400,중계4동,노원구,1471,41,0.0279,1.5181,27.01
1162072500,조원동,관악구,2485,69,0.0278,0.6661,103.59
1162068500,신사동,관악구,2485,69,0.0278,0.6406,107.71
1162074500,삼성동,관악구,2485,69,0.0278,2.6025,26.51
1162076500,미성동,관악구,2485,69,0.0278,1.3584,50.8
1162077500,난곡동,관악구,2485,69,0.0278,0.9717,71.01
1162064500,서원동,관악구,2485,69,0.0278,0.6471,106.63
1162065500,신원동,관악구,2485,69,0.0278,0.5446,126.7
1162071500,난향동,관악구,2485,69,0.0278,0.8208,84.06
1162066500,서림동,관악구,2485,69,0.0278,0.9406,73.36
1162073500,대학동,관악구,2485,69,0.0278,8.3989,8.22
1171057000,오금동,송파구,540,15,0.0278,1.6476,9.1
1162069500,신림동,관악구,2485,69,0.0278,0.5408,127.59
1156062000,양평제2동,영등포구,145,4,0.0276,2.8725,1.39
1159066000,대방동,동작구,326,9,0.0276,1.5438,5.83
1138051000,녹번동,은평구,657,18,0.0274,1.7929,10.04
1171065000,잠실본동,송파구,704,19,0.027,1.0282,18.48
1171068000,잠실3동,송파구,704,19,0.027,1.5415,12.33
1171072000,잠실7동,송파구,704,19,0.027,0.7229,26.28
1171067000,잠실2동,송파구,704,19,0.027,2.6848,7.08
1111051500,청운효자동,종로구,375,10,0.0267,2.5686,3.89
1120055000,사근동,성동구,267,7,0.0262,1.1687,5.99
1121581000,광장동,광진구,153,4,0.0261,2.3919,1.67
1144072000,성산제1동,마포구,774,20,0.0258,0.8586,23.29
1144073000,성산제2동,마포구,867,22,0.0254,1.9773,11.13
1165066000,내곡동,서초구,81,2,0.0247,12.6992,0.16
1150052000,등촌제1동,강서구,492,12,0.0244,0.6503,18.45
1150053000,등촌제2동,강서구,492,12,0.0244,0.91,13.19
1150053500,등촌제3동,강서구,492,12,0.0244,1.0596,11.33
1153054000,구로제3동,구로구,1381,32,0.0232,1.0393,30.79
1153055000,구로제4동,구로구,1381,32,0.0232,0.5241,61.06
1153052000,구로제1동,구로구,1381,32,0.0232,1.0082,31.74
1153053000,구로제2동,구로구,1381,32,0.0232,1.7021,18.8
1153056000,구로제5동,구로구,1381,32,0.0232,1.0117,31.63
1130553400,삼양동,강북구,1885,43,0.0228,0.9234,46.57
1130553500,미아동,강북구,1885,43,0.0228,0.8406,51.15
1130554500,송중동,강북구,1885,43,0.0228,1.075,40.0
1130555500,송천동,강북구,1885,43,0.0228,0.9292,46.28
1130557500,삼각산동,강북구,1885,43,0.0228,0.6214,69.2
1138063200,신사제2동,은평구,920,21,0.0228,1.0455,20.09
1138063100,신사제1동,은평구,920,21,0.0228,0.8077,26.0
1135059500,공릉1동,노원구,616,14,0.0227,1.2623,11.09
1135060000,공릉2동,노원구,616,14,0.0227,6.9797,2.01
1114058000,장충동,중구,180,4,0.0222,1.017,3.93
1111064000,이화동,종로구,233,5,0.0215,0.7818,6.4
1141070000,남가좌제2동,서대문구,374,8,0.0214,0.783,10.22
1141069000,남가좌제1동,서대문구,374,8,0.0214,0.4752,16.84
1117052000,용산2가동,용산구,329,7,0.0213,1.9701,3.55
1138055100,갈현제1동,은평구,998,21,0.021,0.9604,21.87
1147055000,목5동,양천구,1715,36,0.021,1.7651,20.4
1147053000,목3동,양천구,1715,36,0.021,0.5315,67.73
1147052000,목2동,양천구,1715,36,0.021,1.0206,35.27
1147051000,목1동,양천구,1715,36,0.021,1.4321,25.14
1147054000,목4동,양천구,1715,36,0.021,0.5771,62.38
1138055200,갈현제2동,은평구,998,21,0.021,0.9844,21.33
1168058000,삼성1동,강남구,528,11,0.0208,1.9431,5.66
1168059000,삼성2동,강남구,528,11,0.0208,1.2413,8.86
1114065000,신당제5동,중구,726,15,0.0207,0.3193,46.98
1114064500,청구동,중구,726,15,0.0207,0.3423,43.82
1114063500,약수동,중구,726,15,0.0207,0.4859,30.87
1114062500,다산동,중구,726,15,0.0207,0.5237,28.64
1114066500,동화동,중구,726,15,0.0207,0.3268,45.9
1114061500,신당동,중구,729,15,0.0206,0.5345,28.06
1129071500,월곡제1동,성북구,194,4,0.0206,0.8011,4.99
1111055000,부암동,종로구,248,5,0.0202,2.2733,2.2
1150059100,화곡제6동,강서구,4506,90,0.02,1.0372,86.77
1150057000,화곡제4동,강서구,4506,90,0.02,0.8514,105.71
1150059000,화곡본동,강서구,4506,90,0.02,0.9717,92.62
1150054000,화곡제1동,강서구,4506,90,0.02,1.1967,75.21
1150055000,화곡제2동,강서구,4506,90,0.02,0.4543,198.11
1150056000,화곡제3동,강서구,4506,90,0.02,0.5214,172.61
1150059300,화곡제8동,강서구,4506,90,0.02,0.5933,151.69
1130560300,번2동,강북구,705,14,0.0199,0.9736,14.38
1130560800,번3동,강북구,705,14,0.0199,1.0804,12.96
1130559500,번1동,강북구,705,14,0.0199,0.6266,22.34
1150061500,우장산동,강서구,4922,96,0.0195,1.2607,76.15
1121573000,군자동,광진구,208,4,0.0192,0.7375,5.42
1138062500,역촌동,은평구,1067,20,0.0187,1.1567,17.29
1162063000,남현동,관악구,269,5,0.0186,3.2786,1.53
1162060500,은천동,관악구,2536,47,0.0185,0.7756,60.6
1162056500,성현동,관악구,2536,47,0.0185,0.6777,69.35
1162057500,행운동,관악구,2536,47,0.0185,0.7177,65.49
1162058500,낙성대동,관악구,2536,47,0.0185,2.2611,20.79
1162052500,보라매동,관악구,2536,47,0.0185,0.7561,62.16
1162059500,청룡동,관악구,2536,47,0.0185,1.1947,39.34
1162061500,중앙동,관악구,2536,47,0.0185,0.3844,122.27
1162062500,인헌동,관악구,2536,47,0.0185,1.0883,43.19
1162054500,청림동,관악구,2536,47,0.0185,0.2969,158.3
1117069000,서빙고동,용산구,217,4,0.0184,2.8151,1.42
1141061500,연희동,서대문구,655,12,0.0183,2.9271,4.1
1117068500,한남동,용산구,486,8,0.0165,3.0296,2.64
1129059000,돈암제2동,성북구,184,3,0.0163,0.5181,5.79
1129058000,돈암제1동,성북구,184,3,0.0163,0.4889,6.14
1129055500,삼선동,성북구,374,6,0.016,0.9255,6.48
1129072500,월곡제2동,성북구,261,4,0.0153,1.3642,2.93
1147061100,신월7동,양천구,2138,32,0.015,1.2297,26.02
1147056000,신월1동,양천구,2138,32,0.015,0.622,51.45
1147059000,신월4동,양천구,2138,32,0.015,0.4695,68.16
1147060000,신월5동,양천구,2138,32,0.015,0.6381,50.15
1147061000,신월6동,양천구,2138,32,0.015,0.444,72.07
1147058000,신월3동,양천구,2138,32,0.015,0.9174,34.88
1147057000,신월2동,양천구,2138,32,0.015,0.6064,52.77
1120056000,행당제1동,성동구,203,3,0.0148,0.5731,5.23
1120057000,행당제2동,성동구,203,3,0.0148,0.4573,6.56
1141072000,북가좌제2동,서대문구,1053,15,0.0142,0.8243,18.2
1141071000,북가좌제1동,서대문구,1053,15,0.0142,0.5776,25.97
1111053000,사직동,종로구,82,1,0.0122,1.1577,0.86
1171051000,풍납1동,송파구,275,3,0.0109,1.0745,2.79
1171052000,풍납2동,송파구,275,3,0.0109,2.5626,1.17
1144070000,망원제2동,마포구,869,9,0.0104,0.6759,13.32
1144069000,망원제1동,마포구,869,9,0.0104,1.1002,8.18
1120064500,옥수동,성동구,103,1,0.0097,1.9207,0.52
1114068000,중림동,중구,104,1,0.0096,0.4839,2.07
1141052000,천연동,서대문구,105,1,0.0095,0.9821,1.02
1168056500,청담동,강남구,235,2,0.0085,2.3274,0.86
1135058000,월계3동,노원구,487,4,0.0082,1.1333,3.53
1135056000,월계1동,노원구,487,4,0.0082,1.1407,3.51
1135057000,월계2동,노원구,487,4,0.0082,2.0038,2.0
1111069000,창신제3동,종로구,272,2,0.0074,0.2167,9.23
1111068000,창신제2동,종로구,272,2,0.0074,0.2573,7.77
1111067000,창신제1동,종로구,272,2,0.0074,0.3049,6.56
1132051100,창제1동,도봉구,926,6,0.0065,1.1213,5.35
1132051200,창제2동,도봉구,926,6,0.0065,0.6539,9.18
1132051400,창제4동,도봉구,926,6,0.0065,1.1388,5.27
1132051500,창제5동,도봉구,926,6,0.0065,0.7009,8.56
1132051300,창제3동,도봉구,926,6,0.0065,0.655,9.16
1168051000,신사동,강남구,153,1,0.0065,2.0577,0.49
1168054500,압구정동,강남구,153,1,0.0065,2.3433,0.43
1123075000,이문제2동,동대문구,224,1,0.0045,0.724,1.38
1123074000,이문제1동,동대문구,224,1,0.0045,1.038,0.96
1171055000,마천2동,송파구,677,3,0.0044,0.89,3.37
1171054000,마천1동,송파구,677,3,0.0044,0.5748,5.22
1150051000,염창동,강서구,234,1,0.0043,1.7332,0.58
1135062100,중계1동,노원구,314,1,0.0032,0.623,1.61
1135061900,중계본동,노원구,314,1,0.0032,2.1816,0.46
1135062500,중계2.3동,노원구,314,1,0.0032,0.9184,1.09
1120061500,금호2.3가동,성동구,263,0,0.0,0.6307,0.0
1153080000,항동,구로구,178,0,0.0,1.4459,0.0
1144074000,상암동,마포구,160,0,0.0,8.3963,0.0
1120058000,응봉동,성동구,240,0,0.0,0.5532,0.0
1120059000,금호1가동,성동구,179,0,0.0,0.4451,0.0
1114060500,을지로동,중구,13,0,0.0,0.6112,0.0
1111058000,교남동,종로구,273,0,0.0,0.3467,0.0
1156060500,문래동,영등포구,56,0,0.0,1.7854,0.0
1120069000,성수2가제3동,성동구,172,0,0.0,1.0537,0.0
1153051000,신도림동,구로구,92,0,0.0,1.3918,0.0
1111054000,삼청동,종로구,12,0,0.0,1.4772,0.0
1111057000,무악동,종로구,42,0,0.0,0.3692,0.0
1171071000,잠실6동,송파구,24,0,0.0,1.5068,0.0
1111060000,가회동,종로구,132,0,0.0,0.5396,0.0
1111061500,종로1.2.3.4가동,종로구,20,0,0.0,2.4142,0.0
1120067000,성수2가제1동,성동구,172,0,0.0,1.1841,0.0
1171069000,잠실4동,송파구,24,0,0.0,0.7796,0.0
1150060500,가양제3동,강서구,81,0,0.0,0.4723,0.0
1117070000,보광동,용산구,164,0,0.0,0.7147,0.0
1114067000,황학동,중구,13,0,0.0,0.3284,0.0
