adm_cd,adm_nm,자치구,S_JVWI,구피해,cluster,cluster_label
1156054000,여의동,영등포구,14.76,498,6,오피스텔밀집형
1165058000,반포3동,서초구,14.72,29,2,저위험형
1171072000,잠실7동,송파구,14.51,198,2,저위험형
1117070000,보광동,용산구,14.41,4,2,저위험형
1171071000,잠실6동,송파구,14.19,198,4,공시지가괴리형
1165055000,반포본동,서초구,14.18,29,2,저위험형
1171067000,잠실2동,송파구,13.71,198,2,저위험형
1165054000,잠원동,서초구,13.42,29,2,저위험형
1117052000,용산2가동,용산구,11.82,4,2,저위험형
1117069000,서빙고동,용산구,8.97,4,2,저위험형
1117063000,이촌제1동,용산구,8.05,4,2,저위험형
1117064000,이촌제2동,용산구,7.73,4,2,저위험형
1168054500,압구정동,강남구,7.01,68,2,저위험형
1168051000,신사동,강남구,6.46,68,2,저위험형
1111054000,삼청동,종로구,1.73,34,2,저위험형
